DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
JACOBINA;BA;Operante;-11,17277777;-40,53416666;486,37;30/11/1912;83186
JANUARIA;MG;Operante;-15,448054;-44,366321;480;18/06/1912;83386
JATAI;GO;Operante;-17,9236111;-51,71749999;669,84;23/11/1978;83464
JOAO PESSOA;PB;Operante;-7,09527777;-34,8486111;9,67;31/12/1911;82798
JUIZ DE FORA;MG;Operante;-21,76999999;-43,36444444;936,9;31/12/1909;83692
JURAMENTO;MG;Operante;-16,775057;-43,667085;655,59;13/11/1986;83452
LABREA;AM;Operante;-7,26138888;-64,78999999;62,23;29/11/1972;82723
LAGOA VERMELHA;RS;Operante;-28,22249999;-51,51277777;833,73;31/05/1914;83916
LAVRAS;MG;Operante;-21,2261111;-44,97972221;916,19;17/02/1911;83687
LENCOIS;BA;Operante;-12,557854;-41,388808;438,09;31/08/1931;83242
LONDRINA;PR;Operante;-23,32555554;-51,14166666;566;10/12/1953;83766
LUZILANDIA(LAG,DO PIAUI);PI;Operante;-3,46972221;-42,26805554;44,13;17/05/1972;82296
MACAPA;AP;Operante;-0,04499999;-51,11;12,8;31/12/1924;82098
MANAUS;AM;Operante;-3,10333333;-60,01638888;61,25;31/12/1909;82331
MARABA;PA;Operante;-5,36611111;-49,12527777;101,66;31/12/1951;82562
MARINGA;PR;Operante;-23,4;-51,91666666;542;30/11/1953;83767
MONTE ALEGRE;PA;Operante;-2;-54,07638888;100,52;08/03/1974;82181
MONTEIRO;PB;Operante;-7,89444444;-37,12472221;606,41;13/01/1940;82792
MONTES CLAROS;MG;Operante;-16,68638888;-43,84388888;645,87;31/12/1911;83437
MORADA NOVA;CE;Operante;-5,13666666;-38,35666666;45,02;30/09/1962;82588
MORRO DO CHAPEU;BA;Operante;-11,547494;-41,151165;1001,66;12/01/1913;83184
MUNIZ FREIRE;ES;Operante;-20,46583333;-41,41194444;530;31/10/1976;83013
NATAL;RN;Operante;-5,83722221;-35,20777777;47,68;31/12/1910;82598
NOVA XAV,(XAVANTINA);MT;Operante;-14,697917;-52,350226;305,33;04/08/1987;83319
OURICURI;PE;Operante;-7,87944443;-40,09194444;462,01;15/09/1975;82753
PADRE RICARDO REMETTER;MT;Operante;-15,776;-56,072;140;31/12/1985;83364
PALMAS;TO;Operante;-10,190897;-48,301822;291,68;07/10/1993;83033
PALMEIRA DOS INDIOS;AL;Operante;-9,42027777;-36,62027777;277,98;31/12/1927;82992
PAO DE ACUCAR;AL;Operante;-9,74916666;-37,43083332;20,86;13/03/1927;82990
PARANAIBA;MS;Operante;-19,66361111;-51,19138888;429,62;06/07/1971;83565
PASSA QUATRO;MG;Operante;-22,382805;-44,966902;919,55;28/07/1912;83737
PASSO FUNDO;RS;Operante;-28,2286111;-52,41194444;684,05;31/07/1912;83914
PATOS;PB;Operante;-7,05361111;-37,27388888;251,65;16/10/1975;82791
PAULISTANA;PI;Operante;-8,13222221;-41,14305555;376;21/09/1975;82882
PEDRA AZUL;MG;Operante;-16,00944444;-41,2811111;647,97;30/09/1918;83393
PEDRO AFONSO;TO;Operante;-8,9686111;-48,17722221;189,53;03/03/1977;82863
PELOTAS;RS;Operante;-31,78333333;-52,41666666;13;31/12/1925;83985
PETROLINA;PE;Operante;-9,3886111;-40,52333332;372,54;31/12/1940;82983
PICOS;PI;Operante;-7,08083332;-41,43499999;210,07;31/10/1923;82780
PIRENOPOLIS;GO;Operante;-15,85472222;-48,96611111;766,92;16/02/1977;83376
PIRIPIRI;PI;Operante;-4,2761111;-41,79444444;157,89;08/03/1976;82480
PORTO ALEGRE;RS;Operante;-30,05361111;-51,17472221;41,18;08/12/1909;83967
PORTO DE MOZ;PA;Operante;-1,751055;-52,236186;13,08;22/04/1928;82184
PORTO DE PEDRAS;AL;Operante;-9,162012;-35,299881;42,21;13/03/1927;82996
PORTO NACIONAL;TO;Operante;-10,71083333;-48,40638888;243,28;31/12/1914;83064
POSSE;GO;Operante;-14,08916666;-46,36666666;830,35;03/08/1975;83332
PROPRIA;SE;Operante;-10,21376;-36,842198;18,46;09/05/1925;83097
QUIXERAMOBIM;CE;Operante;-5,17305554;-39,28722221;227,33;31/12/1895;82586
RESENDE;RJ;Operante;-22,45111111;-44,44472221;439,9;21/05/1944;83738
RIO BRANCO;AC;Operante;-9,95916666;-67,86888888;160,71;31/12/1928;82915
RIO VERDE;GO;Operante;-17,78527777;-50,96472222;780,04;31/12/1970;83470
SALINAS;MG;Operante;-16,154862;-42,284921;476,07;04/03/1925;83441
SALVADOR (ONDINA);BA;Operante;-13,00583333;-38,50583333;47,35;31/12/1902;83229
SANTA MARIA;RS;Operante;-29,72472221;-53,72055554;103,1;31/12/1911;83936
SANTA MARIA MADALENA;RJ;Operante;-21,96805554;-42,00305555;640;20/12/1921;83696
SANTA VITORIA DO PALMAR;RS;Operante;-33,53166666;-53,35027777;24,01;30/09/1912;83997
SANTO ANTONIO DE PADUA;RJ;Operante;-21,53694444;-42,16083333;95;31/03/1924;83805
SAO CARLOS;SP;Operante;-21,98027777;-47,88388888;859,77;23/09/1939;83726
SAO GABRIEL DA CACHOEIRA(UAUPES);AM;Operante;-0,12527777;-67,06111111;79,71;31/03/1920;82106
SAO GONCALO;PB;Operante;-6,83583333;-38,31166666;237,04;07/10/1938;82689
SAO JOAO DO PIAUI;PI;Operante;-8,365;-42,25027777;237,02;29/09/1975;82879
SAO LOURENCO;MG;Operante;-22,126273;-45,043327;930,65;03/02/1922;83736
SAO LUIS;MA;Operante;-2,52666666;-44,21361111;32,58;17/11/1924;82280
SAO LUIZ GONZAGA;RS;Operante;-28,41722221;-54,9625;245,49;31/03/1912;83907
SAO PAULO(MIR,de SANTANA);SP;Operante;-23,49638888;-46,61999999;785,16;30/11/1945;83781
SAO SIMAO;SP;Operante;-21,461019;-47,579512;620,02;31/12/1919;83669
SAO VICENTE;MT;Operante;-15,82305554;-55,41888888;786,99;07/11/1985;83363
SERIDO (CAICO);RN;Operante;-6,46749999;-37,08499999;171,26;13/03/1995;82690
SERRINHA;BA;Operante;-11,66805554;-39,00194444;362,39;31/01/1904;83190
SOROCABA;SP;Operante;-23,47999999;-47,42666666;597,58;31/12/1927;83851
SURUBIM;PE;Operante;-7,839628;-35,801056;421,44;30/09/1929;82797
TAGUATINGA;TO;Operante;-12,40222222;-46,43833333;604,88;21/12/1915;83235
TARAUACA;AC;Operante;-8,16027777;-70,7686111;172,27;05/06/1966;82807
TEFE;AM;Operante;-3,38027777;-64,72527777;56;03/01/1929;82317
TERESINA;PI;Operante;-5,03472221;-42,80138888;75,73;20/03/1911;82578
TERESOPOLIS;RJ;Operante;-22,41722221;-42,97222221;874,2;31/12/1912;83744
TRACUATEUA;PA;Operante;-1,06361111;-46,86527777;24,68;07/09/1972;82145
TUCURUI;PA;Operante;-3,76;-49,66666666;27,83;31/12/1969;82361
TURIACU;MA;Operante;-1,66138888;-45,37194443;34,48;28/07/1976;82198
UNAI;MG;Operante;-16,36638888;-46,88944444;595,59;06/04/1976;83428
VITORIA;ES;Operante;-20,31583333;-40,31694443;36,2;19/11/1923;83648
VITORIA DA CONQUISTA;BA;Operante;-14,88638888;-40,80138888;879,47;31/12/1935;83344
ZE DOCA;MA;Operante;-3,269212;-45,651007;46,71;24/08/1970;82376
